Code,Trouble Code System,Condition Description,Full_Description,Possible_Causes,Diagnostic_Aids,Application,Context_For_RAG
P0685,Powertrain,Electronic Control Module (ECM)/Powertrain Control Module (PCM) Power Relay Control,"This DTC sets when the ignition switch position run (ISP-R) circuit indicates the key is in
the OFF, ACC, or LOCK position, and the amount of time the PCM remains powered
through the PCM power relay exceeds a predetermined amount of time.
Possible (cid:1) PCM relay control (PCMRC) circuit short to ground in the harness
Causes: (cid:1) Damaged PCM power relay
Diagnostic Ability to communicate with the PCM when the key is in the OFF, ACC, or LOCK position
Aids: indicates a hard fault.",N/A,N/A,,"DTC Code: P0685
Title: Electronic Control Module (ECM)/Powertrain Control Module (PCM) Power Relay Control
System Description: This DTC sets when the ignition switch position run (ISP-R) circuit indicates the key is in
the OFF, ACC, or LOCK position, and the amount of time the PCM remains powered
through the PCM power relay exceeds a predetermined amount of time.
Possible (cid:1) PCM relay control (PCMRC) circuit short to ground in the harness
Causes: (cid:1) Damaged PCM power relay
Diagnostic Ability to communicate with the PCM when the key is in the OFF, ACC, or LOCK position
Aids: indicates a hard fault.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0689,Powertrain,Electronic Control Module (ECM)/Powertrain Control Module (PCM) Power Relay Sense,"This DTC sets when the passive anti theft system (PATS) system indicates the key is in
ON or START position and the ignition switch position run (ISP-R) circuit indicates OFF,
ACC, or LOCK position.
Possible (cid:1) Ignition circuit fuse
Causes: (cid:1) ISP-R circuit open in the harness
(cid:1) ISP-R circuit short to ground in the harness
(cid:1) Damaged ignition switch
(cid:1) Damaged PATS system
Diagnostic Diagnose and repair all PATS DTCs first.
Aids:",N/A,N/A,,"DTC Code: P0689
Title: Electronic Control Module (ECM)/Powertrain Control Module (PCM) Power Relay Sense
System Description: This DTC sets when the passive anti theft system (PATS) system indicates the key is in
ON or START position and the ignition switch position run (ISP-R) circuit indicates OFF,
ACC, or LOCK position.
Possible (cid:1) Ignition circuit fuse
Causes: (cid:1) ISP-R circuit open in the harness
(cid:1) ISP-R circuit short to ground in the harness
(cid:1) Damaged ignition switch
(cid:1) Damaged PATS system
Diagnostic Diagnose and repair all PATS DTCs first.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0690,Powertrain,Electronic Control Module (ECM)/Powertrain Control Module (PCM) Power Relay Sense,"This DTC sets when the passive anti theft system (PATS) system indicates the key is in
the OFF, ACC, or LOCK position and the ignition switch position run (ISP-R) circuit
indicates ON or START position.
Possible (cid:1) ISP-R circuit short to voltage in the harness
Causes: (cid:1) Damaged PATS system
(cid:1) Damaged ignition switch
Diagnostic Diagnose and repair all PATS DTCs first.
Aids:",N/A,N/A,,"DTC Code: P0690
Title: Electronic Control Module (ECM)/Powertrain Control Module (PCM) Power Relay Sense
System Description: This DTC sets when the passive anti theft system (PATS) system indicates the key is in
the OFF, ACC, or LOCK position and the ignition switch position run (ISP-R) circuit
indicates ON or START position.
Possible (cid:1) ISP-R circuit short to voltage in the harness
Causes: (cid:1) Damaged PATS system
(cid:1) Damaged ignition switch
Diagnostic Diagnose and repair all PATS DTCs first.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0703,Powertrain,Brake Switch B Input Circuit,"Indicates the powertrain control module (PCM) did not receive a brake pedal position
(BPP) input.","(cid:1) Open or short in the BPP circuit
(cid:1) Open or short in the stoplamp circuits
(cid:1) Damage in module(s) connected to the BPP circuit.
(cid:1) Damaged brake switch
(cid:1) Misadjusted brake switch","Check for proper function of the stoplamps. Using a scan tool, check the BPP PID.
The stoplamps and PID should toggle on and off with brake pedal activation.",,"DTC Code: P0703
Title: Brake Switch B Input Circuit
System Description: Indicates the powertrain control module (PCM) did not receive a brake pedal position
(BPP) input.
Possible Causes: (cid:1) Open or short in the BPP circuit
(cid:1) Open or short in the stoplamp circuits
(cid:1) Damage in module(s) connected to the BPP circuit.
(cid:1) Damaged brake switch
(cid:1) Misadjusted brake switch
Diagnostic Steps/Aids: Check for proper function of the stoplamps. Using a scan tool, check the BPP PID.
The stoplamps and PID should toggle on and off with brake pedal activation.
Vehicle Application: "
P0704,Powertrain,Clutch Switch Input Circuit,"When the clutch pedal is applied the voltage goes to low. If the powertrain control module
(PCM) does not see this change from high to low the DTC is set.
Possible (cid:1) Clutch pedal position (CPP) circuit short to voltage
Causes: (cid:1) Damaged CPP switch
(cid:1) CPP circuit open in the SIGRTN
Diagnostic When the clutch pedal is applied and then released, the CPP switch voltage should cycle.
Aids:",N/A,N/A,,"DTC Code: P0704
Title: Clutch Switch Input Circuit
System Description: When the clutch pedal is applied the voltage goes to low. If the powertrain control module
(PCM) does not see this change from high to low the DTC is set.
Possible (cid:1) Clutch pedal position (CPP) circuit short to voltage
Causes: (cid:1) Damaged CPP switch
(cid:1) CPP circuit open in the SIGRTN
Diagnostic When the clutch pedal is applied and then released, the CPP switch voltage should cycle.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0705,Powertrain,Transmission Range Sensor A Circuit (PRNDL) Input,,,,,"DTC Code: P0705
Title: Transmission Range Sensor A Circuit (PRNDL) Input
System Description: 
Possible Causes: 
Diagnostic Steps/Aids: 
Vehicle Application: "
P0707,Powertrain,Transmission Range Sensor A Circuit Low,,,,,"DTC Code: P0707
Title: Transmission Range Sensor A Circuit Low
System Description: 
Possible Causes: 
Diagnostic Steps/Aids: 
Vehicle Application: "
P0708,Powertrain,Transmission Range Sensor A Circuit High,,,,,"DTC Code: P0708
Title: Transmission Range Sensor A Circuit High
System Description: 
Possible Causes: 
Diagnostic Steps/Aids: 
Vehicle Application: "
P0720,Powertrain,Output Shaft Speed (OSS) Sensor Circuit,"The OSS sensor inputs a signal to the powertrain control module (PCM) based on the
speed of the output shaft of the transmission.
Possible (cid:1) OSS sensor circuit short to GND
Causes: (cid:1) OSS sensor circuit short to PWR
(cid:1) OSS sensor circuit open
(cid:1) Damaged OSS sensor
Diagnostic Verify the sensor signal output varies with the vehicle speed.
Aids:",N/A,N/A,,"DTC Code: P0720
Title: Output Shaft Speed (OSS) Sensor Circuit
System Description: The OSS sensor inputs a signal to the powertrain control module (PCM) based on the
speed of the output shaft of the transmission.
Possible (cid:1) OSS sensor circuit short to GND
Causes: (cid:1) OSS sensor circuit short to PWR
(cid:1) OSS sensor circuit open
(cid:1) Damaged OSS sensor
Diagnostic Verify the sensor signal output varies with the vehicle speed.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0721,Powertrain,Output Shaft Speed (OSS) Sensor Circuit Range/Performance,"The OSS sensor signal is very sensitive to noise. This noise distorts the input to the
powertrain control module (PCM).
Possible (cid:1) Wiring misrouted
Causes: (cid:1) Aftermarket add-on
(cid:1) Wiring damaged
(cid:1) Wiring insulation wear",N/A,"Check the routing of the harness.
Check the wiring and the connector for damage.",,"DTC Code: P0721
Title: Output Shaft Speed (OSS) Sensor Circuit Range/Performance
System Description: The OSS sensor signal is very sensitive to noise. This noise distorts the input to the
powertrain control module (PCM).
Possible (cid:1) Wiring misrouted
Causes: (cid:1) Aftermarket add-on
(cid:1) Wiring damaged
(cid:1) Wiring insulation wear
Possible Causes: N/A
Diagnostic Steps/Aids: Check the routing of the harness.
Check the wiring and the connector for damage.
Vehicle Application: "
P0722,Powertrain,Output Shaft Speed (OSS) Sensor Circuit No Signal,"The OSS sensor failed to provide a signal to the PCM upon initial movement of
vehicle.","(cid:1) Damaged OSS connector
(cid:1) Damaged OSS sensor, or not installed properly
(cid:1) Harness intermittently shorted or open","Check the wiring, connector, and sensor for damage.",,"DTC Code: P0722
Title: Output Shaft Speed (OSS) Sensor Circuit No Signal
System Description: The OSS sensor failed to provide a signal to the PCM upon initial movement of
vehicle.
Possible Causes: (cid:1) Damaged OSS connector
(cid:1) Damaged OSS sensor, or not installed properly
(cid:1) Harness intermittently shorted or open
Diagnostic Steps/Aids: Check the wiring, connector, and sensor for damage.
Vehicle Application: "
P0723,Powertrain,Output Shaft Speed (OSS) Sensor Circuit Intermittent,The OSS sensor signal to the PCM is irregular or interrupted.,"(cid:1) Harness connector not properly seated
(cid:1) Harness intermittently shorted or open
(cid:1) Harness connector damaged
(cid:1) OSS sensor damaged, or not installed properly","Verify harness and connector integrity.
Verify proper installation of the OSS sensor.",,"DTC Code: P0723
Title: Output Shaft Speed (OSS) Sensor Circuit Intermittent
System Description: The OSS sensor signal to the PCM is irregular or interrupted.
Possible Causes: (cid:1) Harness connector not properly seated
(cid:1) Harness intermittently shorted or open
(cid:1) Harness connector damaged
(cid:1) OSS sensor damaged, or not installed properly
Diagnostic Steps/Aids: Verify harness and connector integrity.
Verify proper installation of the OSS sensor.
Vehicle Application: "
P0815,Powertrain,Upshift Switch Circuit,,,,,"DTC Code: P0815
Title: Upshift Switch Circuit
System Description: 
Possible Causes: 
Diagnostic Steps/Aids: 
Vehicle Application: "
P0830,Powertrain,Clutch Pedal Switch A Circuit,"The powertrain control module (PCM) monitors the clutch pedal position bottom of travel
(CPP-BT) switch only during the calibrated engine speed range (cranking speed range).
This DTC is set when the CPP-BT switch does not indicate that the clutch is disengaged
(clutch pedal pressed) when the engine is cranked.
Possible (cid:1) Damaged CPP-BT switch
Causes: (cid:1) Damaged CPP-BT harness
(cid:1) Open PWRGND circuit to the CPP-BT switch
(cid:1) Vehicle push-started with the clutch engaged (clutch pedal released)
(cid:1) Aftermarket remote starting device
Diagnostic Verify that the vehicle was not push-started with the clutch engaged. Check for aftermarket
Aids: equipment such as remote starting devices which may bypass the clutch pedal position
switch when cranking the engine.",N/A,N/A,,"DTC Code: P0830
Title: Clutch Pedal Switch A Circuit
System Description: The powertrain control module (PCM) monitors the clutch pedal position bottom of travel
(CPP-BT) switch only during the calibrated engine speed range (cranking speed range).
This DTC is set when the CPP-BT switch does not indicate that the clutch is disengaged
(clutch pedal pressed) when the engine is cranked.
Possible (cid:1) Damaged CPP-BT switch
Causes: (cid:1) Damaged CPP-BT harness
(cid:1) Open PWRGND circuit to the CPP-BT switch
(cid:1) Vehicle push-started with the clutch engaged (clutch pedal released)
(cid:1) Aftermarket remote starting device
Diagnostic Verify that the vehicle was not push-started with the clutch engaged. Check for aftermarket
Aids: equipment such as remote starting devices which may bypass the clutch pedal position
switch when cranking the engine.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0833,Powertrain,Clutch Pedal Switch B Circuit,"The powertrain control module (PCM) monitors the clutch pedal position top of travel (CPP-
TT) switch only during the calibrated engine speed range (cranking speed range). This
DTC is set when the CPP-TT does not indicate that the clutch is disengaged (clutch pedal
pressed) when the engine is cranked.
Possible (cid:1) Damaged CPP-TT switch
Causes: (cid:1) Damaged CPP-TT harness
(cid:1) Open PWRGND circuit to the CPP-TT switch
(cid:1) Vehicle push-started with the clutch engaged (clutch pedal released)
(cid:1) Aftermarket remote starting device
Diagnostic Verify that the vehicle was not push-started with the clutch engaged. Check for aftermarket
Aids: equipment such as remote starting devices which may bypass the clutch pedal position
switch when cranking the engine.",N/A,N/A,,"DTC Code: P0833
Title: Clutch Pedal Switch B Circuit
System Description: The powertrain control module (PCM) monitors the clutch pedal position top of travel (CPP-
TT) switch only during the calibrated engine speed range (cranking speed range). This
DTC is set when the CPP-TT does not indicate that the clutch is disengaged (clutch pedal
pressed) when the engine is cranked.
Possible (cid:1) Damaged CPP-TT switch
Causes: (cid:1) Damaged CPP-TT harness
(cid:1) Open PWRGND circuit to the CPP-TT switch
(cid:1) Vehicle push-started with the clutch engaged (clutch pedal released)
(cid:1) Aftermarket remote starting device
Diagnostic Verify that the vehicle was not push-started with the clutch engaged. Check for aftermarket
Aids: equipment such as remote starting devices which may bypass the clutch pedal position
switch when cranking the engine.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
